id,embedding
4694,"[-0.8517658710479736, -0.5745679140090942, 3.1259243488311768, -0.8426443338394165, -0.8609838485717773, 0.8911306858062744, -0.643921434879303, -0.9402115941047668, 2.512700080871582, -0.8035265207290649, -0.8271420001983643, -0.7586318254470825, 2.348916530609131, -0.6348303556442261, 2.5330629348754883, -0.6495990753173828]"
3725,"[0.5949837565422058, 0.5764728784561157, 1.4719464778900146, 0.45966836810112, 0.4412062168121338, 0.45362532138824463, 0.5354576706886292, 0.402139276266098, 1.1626408100128174, 0.5048204660415649, 0.45163536071777344, 0.5185299515724182, 1.0016326904296875, 0.6359984874725342, 0.8684470057487488, 0.5470383167266846]"
2469,"[-0.09494507312774658, 0.05704563856124878, 2.265373468399048, -0.14163199067115784, -0.17338156700134277, 0.6560077667236328, -0.00857912003993988, -0.24630866944789886, 1.8250484466552734, -0.0720125287771225, -0.1708669364452362, -0.08697545528411865, 1.664459228515625, 0.054196834564208984, 1.6652913093566895, 0.006565481424331665]"
2637,"[0.7245804071426392, 0.6755281686782837, 1.4046998023986816, 0.5733503103256226, 0.5539357662200928, 0.43868616223335266, 0.6391021013259888, 0.5104141235351562, 1.1094324588775635, 0.621923565864563, 0.5513027310371399, 0.6254754066467285, 0.9473707675933838, 0.7532654404640198, 0.7860189080238342, 0.6555051803588867]"
244,"[0.613739013671875, 0.5821061134338379, 0.938546359539032, 0.5024627447128296, 0.490339457988739, 0.2886274755001068, 0.5502889156341553, 0.45632487535476685, 0.7474715709686279, 0.5308619737625122, 0.48593389987945557, 0.5463188290596008, 0.6297646760940552, 0.6459746956825256, 0.45091354846954346, 0.5761916637420654]"
5294,"[0.31339457631111145, 0.3630344271659851, 1.2631525993347168, 0.26283523440361023, 0.22085648775100708, 0.3624815344810486, 0.31518232822418213, 0.17785876989364624, 1.0253350734710693, 0.304608017206192, 0.21975602209568024, 0.28760212659835815, 0.9070447087287903, 0.4006742238998413, 0.7752916216850281, 0.3569871187210083]"
592,"[-0.3238901197910309, -0.16616222262382507, 1.7151358127593994, -0.3276899755001068, -0.3362725079059601, 0.4828999936580658, -0.21640606224536896, -0.38403141498565674, 1.3876543045043945, -0.3112797737121582, -0.3172546327114105, -0.26680222153663635, 1.2897037267684937, -0.1833828091621399, 1.294626235961914, -0.1963336169719696]"
5192,"[0.08314716815948486, 0.19325551390647888, 2.1228771209716797, 0.032913222908973694, -0.014441996812820435, 0.6152359247207642, 0.1242431253194809, -0.07501818239688873, 1.7112996578216553, 0.08198271691799164, -0.021622568368911743, 0.06268610060214996, 1.5488334894180298, 0.20879381895065308, 1.501265048980713, 0.16070829331874847]"
1987,"[-0.09964382648468018, -0.005223482847213745, 2.9049556255340576, -0.1900811791419983, -0.217451274394989, 0.8646847009658813, -0.06408949196338654, -0.29617124795913696, 2.3020129203796387, -0.1687554568052292, -0.20432347059249878, -0.11817869544029236, 2.0949149131774902, -0.00037467479705810547, 2.1717844009399414, -0.06209102272987366]"
1268,"[1.20417320728302, 1.1278890371322632, 1.375455379486084, 1.019444465637207, 0.955574631690979, 0.42845869064331055, 1.0417414903640747, 0.9476903080940247, 1.0948132276535034, 1.1128511428833008, 0.941689133644104, 1.0658323764801025, 0.8993995785713196, 1.1969373226165771, 0.6404708027839661, 1.071830153465271]"
7764,"[0.4508421719074249, 0.48234933614730835, 2.4012091159820557, 0.31128227710723877, 0.27056726813316345, 0.7282047867774963, 0.42218858003616333, 0.20688416063785553, 1.904904842376709, 0.37943005561828613, 0.2844386696815491, 0.36595726013183594, 1.6872758865356445, 0.5409887433052063, 1.6430237293243408, 0.42627233266830444]"
6568,"[0.9754115343093872, 0.9852131605148315, 2.0270943641662598, 0.8292779922485352, 0.730561375617981, 0.6170358657836914, 0.8905351758003235, 0.6624590158462524, 1.6363002061843872, 0.9807132482528687, 0.682547390460968, 0.8233034610748291, 1.3940259218215942, 1.074733853340149, 1.2056174278259277, 0.9414132833480835]"
7297,"[-0.297619491815567, -0.132747083902359, 1.7856528759002686, -0.3015974462032318, -0.31701186299324036, 0.5040262341499329, -0.18595688045024872, -0.3707045316696167, 1.4453555345535278, -0.2755262851715088, -0.3049149811267853, -0.2476126253604889, 1.3384190797805786, -0.14893996715545654, 1.3463215827941895, -0.16204270720481873]"
1094,"[-0.16574665904045105, -0.026618659496307373, 1.901397466659546, -0.19344347715377808, -0.21452584862709045, 0.5435686111450195, -0.08423568308353424, -0.2689895033836365, 1.533971905708313, -0.16331510245800018, -0.20236876606941223, -0.13852405548095703, 1.4070923328399658, -0.033085405826568604, 1.398979663848877, -0.06336534023284912]"
969,"[0.795012354850769, 0.7473325729370117, 1.1364619731903076, 0.6715039610862732, 0.6409837007522583, 0.3503774404525757, 0.7074809670448303, 0.594640851020813, 0.9125661849975586, 0.7268405556678772, 0.604229211807251, 0.687390148639679, 0.7605182528495789, 0.8315315842628479, 0.5538585782051086, 0.7441964745521545]"
