word,index
தமழநடகக,0
சறபப,1
அதகரம,2
வணடமவடககன,3
வலகக,4
வரலம,5
இஙக,6
இரககலம,7
ஆனல,8
தமழனகக,9
மடடம,10
மதல,11
உரம,12
Holi,13
festival,14
so,15
they,16
go,17
to,18
native,19
hours,20
work,21
in,22
tirupur,23
Dmk,24
first,25
control,26
mill,27
owners,28
shift,29
மதம,30
இனம,31
மழ,32
நட,33
சத,34
பணககரன,35
ஏழ,36
எலலம,37
வறபட,38
தன,39
எனன,40
பறததவர,41
மனதம,42
கட,43
ஓர,44
அணடததல,45
வழம,46
அததண,47
உயரம,48
ஒனன,49
ஒர,50
சழறசகக,51
உடபடடத,52
வரவ,53
சநத,54
உழககம,55
எலலரம,56
உயரனம,57
அத,58
நய,59
நன,60
அனப,61
சவம,62
Like,63
this,64
one,65
day,66
all,67
these,68
North,69
Indias,70
are,71
going,72
chase,73
every,74
Tamilians,75
from,76
Tamilian,77
Nadu,78
This,79
is,80
very,81
dangerous,82
Need,83
probe,84
into,85
and,86
I,87
request,88
that,89
the,90
Tamil,91
people,92
not,93
give,94
Indians,95
any,96
accommodation,97
We,98
need,99
save,100
our,101
Rights,102
heavy,103
migration,104
These,105
hooligans,106
use,107
respect,108
tamilians,109
a,110
lost,111
but,112
way,113
r,114
doing,115
killing,116
Indian,117
has,118
really,119
hurted,120
me,121
have,122
life,123
family,124
u,125
kill,126
inccent,127
இவரகள,128
சலவத,129
உணமயன,130
கரணமலல,131
மதலளகள,132
கரணம,133
கல,134
ஆறமணயல,135
இரவஒனபதமண,136
வர,137
களவ,138
கடகமலஉழபபதல,139
அவரகளததன,140
தடகறரகள,141
ஜத,142
பரமய,143
பசககணட,144
இரபபரகள,145
வநதல,146
அடகக,147
மடயம,148
சரதன,149
வணககம,150
அடசச,151
தவகக,152
பறஙக,153
வடககனஸ,154
மசமன,155
ஆடகள,156
வட,157
மநலததவன,158
கடடபபடதத,159
வடடல,160
தமழநடட,161
மககள,162
வளவகள,163
சநதகக,164
நரடம,165
polaikavantha,166
marvadikku,167
yavvalavu,168
thimuru,169
Nam,170
thamilar,171
aachithan,172
enimea,173
Tamilnadu,174
azhiyarathu,175
Kan,176
munadi,177
theridhu,178
Onnu,179
paithiyam,180
onnu,181
psycho,182
aga,183
mothaam,184
renduthukum,185
treatment,186
pannanum,187
modhalla,188
olunga,189
school,190
ponga,191
da,192
dei,193
Prakash,194
ந,195
இனனம,196
கமனததடதன,197
சததரய,198
கலம,199
மறம,200
பத,201
நமம,202
மறவம,203
அதபல,204
இநத,205
சதபபயரம,206
மறமசனன,207
இனற,208
நடர,209
மறவலலய,210
பளள,211
இபப,212
வளளளர,213
கழபபணரசசயட,214
எதயம,215
பரககதரகளஉதவ,216
சயயவடடலம,217
பரவயலல,218
உபததரம,219
சயயதர,220
பஜப,221
மட,222
மககளகக,223
நலலத,224
சயவத,225
வடட,226
பரசசனய,227
தரதத,228
வபபர,229
மழய,230
சடடரதயக,231
தணகக,232
மடயத,233
எனபதல,234
இநதவலககள,235
ஆரமபதத,236
வடடரகள,237
இவரகளல,238
தமழநடடன,239
ரபய,240
நடடகக,241
எநத,242
தமழனம,243
உணரவதக,244
இலல,245
Vellore,246
koda,247
niraya,248
peru,249
irukkanga,250
shrikanspeaks,251
arivaali,252
kandupidichittaaru,253
டய,254
வடககன,255
வரடடஙகட,256
பறயன,257
தணட,258
இரநதலம,259
தமழ,260
இனதத,261
சரதவணட,262
சனன,263
களஙக,264
ட,265
அவ,266
நமககளள,267
வணட,268
தவவ,269
சஞச,270
தறநதஙகட,271
வள,272
இரககடடம,273
ticket,274
இலலம,275
கடடம,276
ஓசல,277
பறதநக,278
களள,279
ஏடஎம,280
மசன,281
கறபழதத,282
மனவ,283
பண,284
எரபப,285
சலலடட,286
பலம,287
வளகக,288
வநத,289
இடததல,290
இவவளவ,291
ஒழககம,292
நடநதககற,293
ஆளகக,294
ஆள,295
support,296
வற,297
Kandipaga,298
agamudaiyar,299
sangam,300
venum,301
trust,302
start,303
soon,304
மற,305
வடய,306
படட,307
Fake,308
Promotion,309
பணணதஙக,310
ok,311
hindi,312
peoples,313
ku,314
toll,315
free,316
helpline,317
number,318
apo,319
namaku,320
tamil,321
problem,322
vanta,323
ena,324
Namma,325
Orr,326
la,327
sapatuke,328
vazhi,329
erukaathu,330
Rozham,331
athigamma,332
erukum,333
aana,334
avanunga,335
rubaiku,336
kasta,337
padranga,338
ithe,339
Inga,340
erukuravanga,341
paduvanungala,342
Apdiaa,343
Sari,344
apa,345
uzhaikaama,346
sambaarika,347
youtube,348
iruke,349
part,350
time,351
aa,352
adhu,353
pannalame,354
neenga,355
easy,356
kaasu,357
varume,358
pannunga,359
ji,360
En,361
peeyala,362
fried,363
rice,364
omlete,365
pottu,366
irukean,367
friendsyaravathu,368
sapduringala,369
friends,370
Nalla,371
strength,372
kedaikum,373
மமப,374
ல,375
taxi,376
ஒறறவன,377
கரன,378
அவனஙகல,379
மமபய,380
தறதடலம,381
பய,382
வல,383
சயன,384
manivannan,385
yepdi,386
ivanunga,387
kuda,388
serndhu,389
beeda,390
thuppanum,391
dhana,392
Ippadiye,393
solli,394
tamilanai,395
izhivu,396
paduthuvathey,397
indha,398
sangi,399
kumbaldhaanda,400
getting,401
educated,402
want,403
better,404
mostly,405
looking,406
for,407
decent,408
job,409
its,410
nothing,411
wrong,412
travel,413
earn,414
money,415
same,416
also,417
hard,418
lifelucky,419
Brother,420
you,421
know,422
communicate,423
VadakansNice,424
review,425
மனதநயம,426
ஏன,427
நயம,428
எஙகள,429
தமழரகள,430
மத,431
தமழன,432
எபபட,433
பன,434
ஒனறய,435
அரச,436
மதரசரயன,437
வரதத,438
சலல,439
Adei,440
vadakka,441
un,442
englishlaye,443
theriyudhu,444
nee,445
vadakandhannu,446
இபபடய,447
சமம,448
பசடட,449
இரநத,450
மடவகக,451
வரமடயத,452
ரணட,453
கரபபம,454
சரநத,455
அடசகடட,456
யர,457
பரயவஙகனன,458
பரவ,459
பணணஙக,460
பஸ,461
ஆயரம,462
பரயர,463
வநதலம,464
உஙகள,465
மததவ,466
ஜய,467
ஸரரம,468
வழததக,469
கணட,470
பலகளனம,471
நம,472
தமழர,473
வரடததறகள,474
வரடட,475
வடவஙகள,476
தரபப,477
அடககலம,478
அணண,479
மதர,480
சலலதஙக,481
நனசச,482
அவஙகள,483
ஒனறக,484
இரநதநமம,485
கடட,486
பஞசப,487
